ABCA1
ABCA6
ACO2
ADAMTS10
ADAMTS17
AFAP1
AFG3L2
APBB2
ASB10
ATOH7
ATXN2
AUH
BMP4
C12orf65
CDKN2B
CISD2
CNTNAP2
COL11A1
COL18A1
COL1A1
COL4A1
COL8A1
COL8A2
CPAMD8
CREBBP
CYP1B1
DDX58
EXO5
FOXC1
FOXD3
FOXE3
FOXF2
GAS7
GJA1
IFIH1
LMX1B
LOXL1
LTBP2
MAF
MFRP
MTPAP
MYOC
NDUFS1
NR2F1
OCRL
OPA1
OPA3
OPTC
OPTN
PAX6
PIK3R1
PITX2
PITX3
PLEKHA7
POLG
PRPF8
PRSS56
PXDN
SBF2
SH3PXD2B
SIX6
SLC4A4
SLC6A20
SPG7
TBK1
TEK
TMCO1
TMEM126A
WDR36
WFS1
BEST1
HCCS
CRYBA4
GDF6
EYA1
CRYGC
CRYAA
CRYGD
SPATA13
MMP9
RS1
KERA
CYP39A1
EFEMP1
SLC4A11
TMEM98
CRB1
MYRF
PCK2
CACNA1A
