ABCA4
ABCB5
ABCC6
ADAMTS18
ADGRV1
AGBL1
ANGPTL7
BEST1
CHST6
COL2A1
COL4A1
COL4A2
COL4A3
COL4A4
COL5A1
COL5A2
COL6A1
COL8A2
COL12A1
COL17A1
CYP4V2
DIAPH1
DOCK9
FOXE3
FYN
GJA8
GSN
HGF
IL1A
IL1RN
IL6
IL10
ITGB1
KERA
KRT3
KRT12
KRT13
KRT15
KRT16
KRT23
KRT24
LCAT
LOX
LRRN1
LTBP2
MAP2K1
MAP3K19
MTOR
MYLK
NLRP1
OVOL2
PAX6
PIK3CG
PIKFYVE
PIK3R1
PRDM5
PTK2
PXDN
PXN
RAF1
RHOA
SFTPD
SHC1
SIX5
SLC4A11
TACSTD2
TCF4
TGFBI
TLN1
UBIAD1
VSX1
WNT9A
WNT9B
ZEB1
ZNF469
